m/z	i
3199.09 61672
3199.43 64551
3199.77 67041
3200.11 69142
3200.46 70855
3200.80 72179
3201.14 73115
3201.48 73662
3201.82 73821
3202.17 73591
3202.51 72973
3202.85 71966
3203.19 70571
3203.53 69861
3203.88 66652
3204.22 63940
3204.56 63387
3204.90 59895
3205.25 54432
3205.59 50194
3205.93 48863
3206.27 49033
3206.61 45108
3206.96 39083
3207.30 35323
3207.64 33852
3207.98 34067
3208.33 33700
3208.67 31323
3209.01 27317
3209.35 29628
3209.70 32894
3210.04 36549
3210.38 38779
3210.72 40810
3211.07 41344
3211.41 40900
3211.75 42309
3212.09 44137
3212.44 48639
3212.78 54082
3213.12 57758
3213.46 58375
3213.81 60265
3214.15 61161
3214.49 61191
3214.83 60662
3215.18 58804
3215.52 58558
3215.86 60115
3216.21 61697
3216.55 60942
3216.89 61956
3217.23 65861
3217.58 71244
3217.92 72375
3218.26 74387
3218.61 75884
3218.95 78430
3219.29 79778
3219.64 80977
3219.98 82761
3220.32 84247
3220.66 83959
3221.01 81482
3221.35 76836
3221.69 70957
3222.04 64629
3222.38 57936
3222.72 50266
3223.07 41803
3223.41 34328
3223.75 27141
3224.10 22301
3224.44 19129
3224.78 16854
3225.13 16626
3225.47 17860
3225.81 18314
3226.16 18874
3226.50 22732
3226.84 28597
3227.19 35967
3227.53 40522
3227.87 43897
3228.22 45623
3228.56 49394
3228.90 52546
3229.25 52860
3229.59 53437
3229.93 52866
3230.28 50603
3230.62 51047
3230.96 48844
3231.31 46331
3231.65 46259
3232.00 44768
3232.34 43779
3232.68 42858
3233.03 42008
3233.37 41278
3233.71 42133
3234.06 43131
3234.40 44726
3234.75 46247
3235.09 49066
3235.43 47280
3235.78 41238
3236.12 36238
3236.47 34585
3236.81 35197
3237.15 31823
3237.50 29170
3237.84 32048
3238.18 33535
3238.53 33488
3238.87 35045
3239.22 35206
3239.56 37972
3239.91 38876
3240.25 39618
3240.59 39251
3240.94 36638
3241.28 36822
3241.63 40721
3241.97 46753
3242.31 53196
3242.66 56504
3243.00 57224
3243.35 55617
3243.69 50480
3244.04 46924
3244.38 44603
3244.72 42251
3245.07 39590
3245.41 36129
3245.76 37258
3246.10 40514
3246.45 39836
3246.79 40900
3247.14 42846
3247.48 44370
3247.82 46504
3248.17 44663
3248.51 43110
3248.86 38236
3249.20 32782
3249.55 31151
3249.89 30169
3250.24 29035
3250.58 25821
3250.93 21370
3251.27 19503
3251.62 17494
3251.96 16014
3252.30 15717
3252.65 16492
3252.99 17432
3253.34 18762
3253.68 21022
3254.03 25423
3254.37 29527
3254.72 33577
3255.06 40260
3255.41 43721
3255.75 46657
3256.10 49234
3256.44 48353
3256.79 49261
3257.13 51283
3257.48 53109
3257.82 53825
3258.17 54057
3258.51 58108
3258.86 60178
3259.20 62684
3259.55 67147
3259.89 70187
3260.24 70478
3260.58 70261
3260.93 70074
3261.27 67869
3261.62 63308
3261.97 58903
3262.31 53260
3262.66 45937
3263.00 42228
3263.35 39772
3263.69 34165
3264.04 31267
3264.38 30625
3264.73 31792
3265.07 34806
3265.42 37311
3265.76 39118
3266.11 41429
3266.46 44246
3266.80 48882
3267.15 51550
3267.49 57527
3267.84 62647
3268.18 65029
3268.53 64830
3268.87 67243
3269.22 72578
3269.57 73002
3269.91 70105
3270.26 66550
3270.60 60880
3270.95 57063
3271.29 56956
3271.64 54664
3271.99 50643
3272.33 47989
3272.68 43754
3273.02 41580
3273.37 40229
3273.72 41272
3274.06 41514
3274.41 38980
3274.75 34248
3275.10 34942
3275.45 37903
3275.79 41463
3276.14 44548
3276.48 49900
3276.83 57028
3277.18 62865
3277.52 65583
3277.87 65726
3278.21 64167
3278.56 60814
3278.91 57145
3279.25 56214
3279.60 56220
3279.94 53138
3280.29 46930
3280.64 40631
3280.98 40404
3281.33 44819
3281.68 47103
3282.02 49177
3282.37 48093
3282.72 46183
3283.06 44059
3283.41 48287
3283.75 52983
3284.10 57350
3284.45 60336
3284.79 64211
3285.14 67190
3285.49 67773
3285.83 65958
3286.18 63186
3286.53 58173
3286.87 53347
3287.22 48603
3287.57 43816
3287.91 39968
3288.26 32992
3288.61 26515
3288.95 25821
3289.30 30212
3289.65 31274
3289.99 29947
3290.34 27541
3290.69 26205
3291.03 26490
3291.38 28489
3291.73 33508
3292.07 35988
3292.42 36458
3292.77 37127
3293.12 39257
3293.46 38929
3293.81 37673
3294.16 33542
3294.50 29909
3294.85 30730
3295.20 30705
3295.54 31429
3295.89 35991
3296.24 41155
3296.59 43525
3296.93 45993
3297.28 48643
3297.63 49383
3297.97 45523
3298.32 43577
3298.67 42545
3299.02 43107
3299.36 40710
3299.71 39220
3300.06 36543
3300.40 32021
